"rgn_id","sector","year","value"
1,"cf",2003,7858.585
2,"cf",2003,7858.585
3,"cf",2003,7858.585
1,"cf",2004,7514.5
2,"cf",2004,7514.5
3,"cf",2004,7514.5
1,"cf",2005,6184.829
2,"cf",2005,6184.829
3,"cf",2005,6184.829
1,"cf",2006,5578.923
2,"cf",2006,5578.923
3,"cf",2006,5578.923
1,"cf",2007,5484.003
2,"cf",2007,5484.003
3,"cf",2007,5484.003
1,"cf",2008,5497.45
2,"cf",2008,5497.45
3,"cf",2008,5497.45
1,"mar",2003,0
2,"mar",2003,0
3,"mar",2003,0
1,"mar",2004,0
2,"mar",2004,0
3,"mar",2004,0
1,"mar",2005,0
2,"mar",2005,0
3,"mar",2005,0
1,"mar",2006,0
2,"mar",2006,0
3,"mar",2006,0
1,"mar",2007,0
2,"mar",2007,0
3,"mar",2007,0
1,"mar",2008,0
2,"mar",2008,0
3,"mar",2008,0
1,"tour",2005,47664.6565975
2,"tour",2005,47664.6565975
3,"tour",2005,47664.6565975
1,"tour",2006,50320.3812773
2,"tour",2006,50320.3812773
3,"tour",2006,50320.3812773
1,"tour",2007,56020.6340018
2,"tour",2007,56020.6340018
3,"tour",2007,56020.6340018
1,"tour",2008,53476.9374103
2,"tour",2008,53476.9374103
3,"tour",2008,53476.9374103
1,"tour",2009,52798.1789934
2,"tour",2009,52798.1789934
3,"tour",2009,52798.1789934
1,"tour",2010,52224.8587772
2,"tour",2010,52224.8587772
3,"tour",2010,52224.8587772
