"rgn_id","year","jobs"
1,1990,1370202.92323798
2,1990,6376325.68884543
3,1990,10332110.3639925
1,1991,1358917.77863125
2,1991,6323809.55693687
3,1991,10247013.946832
1,1992,1350072.58593227
2,1992,6282647.89505981
3,1992,10180316.1565947
1,1993,1348082.27525537
2,1993,6273385.85884409
3,1993,10165308.0806202
1,1994,1335346.01451694
2,1994,6214116.86652989
3,1994,10069269.4214244
1,1995,1320108.94415644
2,1995,6143210.19897382
3,1995,9954373.23348124
1,1996,1316115.74298696
2,1996,6124627.58557704
3,1996,9924262.222558
1,1997,1314917.22232575
2,1997,6119050.19411838
3,1997,9915224.69422176
1,1998,1318259.56503971
2,1998,6134603.9966585
3,1998,9940427.86173019
1,1999,1304521.14951789
2,1999,6070671.41387816
3,1999,9836832.38474615
1,2000,1316118.45266783
2,2000,6124640.19524779
3,2000,9924282.65509489
1,2001,1317741.32876077
2,2001,6132192.35146184
3,2001,9936520.06505439
1,2002,1303808.42329633
2,2002,6067354.69747169
3,2002,9831458.02314199
1,2003,1305272.46072575
2,2003,6074167.68795097
3,2003,9842497.69912088
1,2004,1310712.86781534
2,2004,6099484.96533722
3,2004,9883521.46685724
1,2005,1322605.36309284
2,2005,6154827.44188314
3,2005,9973197.65395812
1,2006,1313809.31326301
2,2006,6113894.4694459
3,2006,9906870.42894079
1,2007,1313678.45286444
2,2007,6113285.50233095
3,2007,9905883.66701131
1,2008,1332879.22394955
2,2008,6202637.50110375
3,2008,10050668.4157231
1,2009,1354272.43681933
2,2009,6302192.16594578
3,2009,10211985.4240744
1,2010,1374930.86391347
2,2010,6398327.45885566
3,2010,10367761.729221
1,2011,1393821.24784254
2,2011,6486235.05142923
3,2011,10510205.9820125
1,2012,1404391.22442092
2,2012,6535423.10382949
3,2012,10589909.6249551
