"rgn_id","year","popsum"
1,2005,191532.445998363
2,2005,894519.603914906
3,2005,1403687.64192022
1,2006,164388.616147168
2,2006,764674.56999961
3,2006,1221815.078279
1,2007,164346.820856551
2,2007,764448.039473428
3,2007,1223550.56085669
1,2008,164305.029868523
2,2008,764221.497330365
3,2008,1225286.05829098
1,2009,164263.226228618
2,2009,763994.944917241
3,2009,1227021.53391721
1,2010,191301.289295348
2,2010,892811.613089256
3,2010,1413660.33628125
1,2011,164099.335914935
2,2011,763311.80847713
3,2011,1230227.86677563
1,2012,163977.242695587
2,2012,762855.231790868
3,2012,1231698.725692
1,2013,163855.146611459
2,2013,762398.650003275
3,2013,1233169.58150665
1,2014,163733.044552719
2,2014,761942.045509011
3,2014,1234640.4009659
1,2015,190600.683218393
2,2015,889733.655425271
3,2015,1422124.44962362
