"rgn_id","year","count"
3,1988,114016.10598808
1,1988,15120.3574310942
2,1988,70363.536580826
3,1989,132018.649038829
1,1989,17507.7822886353
2,1989,81473.5686725354
3,1990,159051.039080113
1,1990,21092.709138213
2,1990,98156.2517816735
3,1991,235747.587569338
1,1991,31263.8969439917
2,1991,145488.51548667
3,1992,273638.654371392
1,1992,36288.857834626
2,1992,168872.487793982
3,1993,306614.741165939
1,1993,40662.0138435189
2,1993,189223.244990542
3,1994,356393.201474519
1,1994,47263.4330527835
2,1994,219943.365472697
3,1995,271181.164367639
1,1995,35962.9553937553
2,1995,167355.880238606
3,1996,298327.856269562
1,1996,39563.0404963967
2,1996,184109.103234041
3,1997,317873.474438947
1,1997,42155.1017702986
2,1997,196171.423790754
3,1998,289298.009279028
1,1998,38365.5385043602
2,1998,178536.452216612
3,1999,247406.377354585
1,1999,32810.0387564945
2,1999,152683.58388892
3,2000,242777.151998678
1,2000,32196.1295074125
2,2000,149826.718493909
3,2001,192598.635177859
1,2001,25541.6564124247
2,2001,118859.708409716
3,2002,179453.921204296
1,2002,23798.4573100931
2,2002,110747.621485611
3,2003,163451.660714741
1,2003,21676.3018811676
2,2003,100872.037404091
3,2004,173110.167938794
1,2004,22957.1742650547
2,2004,106832.657796151
3,2005,172824.413287195
1,2005,22919.2786323953
2,2005,106656.30808041
3,2006,180082.581437814
1,2006,23881.8277019437
2,2006,111135.590860242
3,2007,199799.652398159
1,2007,26496.6263554412
2,2007,123303.7212464
3,2008,183740.240978284
1,2008,24366.8917999838
2,2008,113392.867221732
3,2009,188140.862612912
1,2009,24950.4845429383
2,2009,116108.65284415
3,2010,178996.713761737
1,2010,23737.824297838
2,2010,110465.461940425
3,2011,180711.241671333
1,2011,23965.1980937943
2,2011,111523.560234873
3,2012,187855.107961313
1,2012,24912.5889102789
2,2012,115932.303128409
3,2013,190884.107268264
1,2013,25314.2826164684
2,2013,117801.610115268
