"rgn_id","year","usd"
1,2002,15020237169.6081
2,2002,69897620631.8372
3,2002,113261142198.555
1,2004,19157682343.3596
2,2004,89151482596.4852
3,2004,144459835060.155
1,2005,23033875025.5573
2,2005,107189589620.812
3,2005,173688535353.631
1,2006,25895601621.4634
2,2006,120506814754.741
3,2006,195267583623.796
1,2007,32235692547.9089
2,2007,150010827597.143
3,2007,243075479854.948
1,2008,40123971651.0209
2,2008,186719431726.445
3,2008,302557596622.534
1,2009,32656788818.02
2,2009,151970425638.462
3,2009,246250785543.518
1,2010,35605372203.9813
2,2010,165691844320.87
3,2010,268484783475.149
1,2011,38994302841.4447
2,2011,181462446700.194
3,2011,294039250458.362
