"rgn_id","sciname","category"
3,"Lagenorhynchus cruciger",5
3,"Lagenorhynchus obscurus",2
3,"Lamna nasus",7
3,"Lepidochelys kempii",1
3,"Lepidochelys olivacea",7
3,"Lissodelphis peronii",2
3,"Lutrogale perspicillata",7
3,"Megachasma pelagios",2
3,"Megaptera novaeangliae",5
3,"Mesoplodon bowdoini",2
3,"Mesoplodon densirostris",2
3,"Mesoplodon ginkgodens",2
3,"Mesoplodon grayi ",2
3,"Mesoplodon hectori",2
3,"Mesoplodon layardii",2
3,"Mesoplodon mirus",2
3," Monachus monachus ",1
3,"Natator depressus",2
3,"Orcaella brevirostris",7
3,"Orcaella heinsohni",6
3,"Orcinus orca",2
3,"Peponocephala electra",5
3,"Phocoena dioptrica",2
3,"Phocoena sinus",1
3,"Physeter macrocephalus",7
3,"Prionace glauca",6
3,"Pseudorca crassidens ",2
3,"Rhincodon typus",7
3,"Sousa chinensis",6
3,"Stenella attenuata",5
3,"Stenella coeruleoalba",5
3,"Stenella longirostris",2
3,"Steno bredanensis",5
3,"Tasmacetus shepherdi ",2
3,"Triaenodon obesus",6
3,"Tursiops aduncus",2
3,"Tursiops truncatus",5
3,"Ursus maritimus",7
3,"Ziphius cavirostris",5
