"rgn_id","count","year"
3,29637450,1960
1,29637450,1960
2,29637450,1960
3,29964000,1961
1,29964000,1961
2,29964000,1961
3,30308500,1962
1,30308500,1962
2,30308500,1962
3,30712000,1963
1,30712000,1963
2,30712000,1963
3,31139450,1964
1,31139450,1964
2,31139450,1964
3,31444950,1965
1,31444950,1965
2,31444950,1965
3,31681000,1966
1,31681000,1966
2,31681000,1966
3,31987155,1967
1,31987155,1967
2,31987155,1967
3,32294655,1968
1,32294655,1968
2,32294655,1968
3,32548300,1969
1,32548300,1969
2,32548300,1969
3,32664300,1970
1,32664300,1970
2,32664300,1970
3,32783500,1971
1,32783500,1971
2,32783500,1971
3,33055650,1972
1,33055650,1972
2,33055650,1972
3,33357200,1973
1,33357200,1973
2,33357200,1973
3,33678899,1974
1,33678899,1974
2,33678899,1974
3,34015199,1975
1,34015199,1975
2,34015199,1975
3,34356300,1976
1,34356300,1976
2,34356300,1976
3,34689050,1977
1,34689050,1977
2,34689050,1977
3,34965600,1978
1,34965600,1978
2,34965600,1978
3,35247217,1979
1,35247217,1979
2,35247217,1979
3,35574150,1980
1,35574150,1980
2,35574150,1980
3,35898587,1981
1,35898587,1981
2,35898587,1981
3,36230481,1982
1,36230481,1982
2,36230481,1982
3,36571808,1983
1,36571808,1983
2,36571808,1983
3,36904134,1984
1,36904134,1984
2,36904134,1984
3,37201885,1985
1,37201885,1985
2,37201885,1985
3,37456119,1986
1,37456119,1986
2,37456119,1986
3,37668045,1987
1,37668045,1987
2,37668045,1987
3,37824487,1988
1,37824487,1988
2,37824487,1988
3,37961529,1989
1,37961529,1989
2,37961529,1989
3,38110782,1990
1,38110782,1990
2,38110782,1990
3,38246193,1991
1,38246193,1991
2,38246193,1991
3,38363667,1992
1,38363667,1992
2,38363667,1992
3,38461408,1993
1,38461408,1993
2,38461408,1993
3,38542652,1994
1,38542652,1994
2,38542652,1994
3,38594998,1995
1,38594998,1995
2,38594998,1995
3,38624370,1996
1,38624370,1996
2,38624370,1996
3,38649660,1997
1,38649660,1997
2,38649660,1997
3,38663481,1998
1,38663481,1998
2,38663481,1998
3,38660271,1999
1,38660271,1999
2,38660271,1999
3,38453757,2000
1,38453757,2000
2,38453757,2000
3,38248076,2001
1,38248076,2001
2,38248076,2001
3,38230364,2002
1,38230364,2002
2,38230364,2002
3,38204570,2003
1,38204570,2003
2,38204570,2003
3,38182222,2004
1,38182222,2004
2,38182222,2004
3,38165445,2005
1,38165445,2005
2,38165445,2005
3,38141267,2006
1,38141267,2006
2,38141267,2006
3,38120560,2007
1,38120560,2007
2,38120560,2007
3,38125759,2008
1,38125759,2008
2,38125759,2008
3,38151603,2009
1,38151603,2009
2,38151603,2009
3,38183683,2010
1,38183683,2010
2,38183683,2010
3,38534157,2011
1,38534157,2011
2,38534157,2011
3,38542737,2012
1,38542737,2012
2,38542737,2012
